feature,score0,score1,score2,score3,score4,score_mean
25,6.612889489309889,6.40429380474396,7.9803126383614655,6.819596195725655,6.977305894792298,6.958879604586653
34,6.5947908925702,6.994429684887064,5.7895104666322315,6.431188913947365,6.7709734374286645,6.516178679093104
3175,6.197829794679929,6.561660473854121,6.320543124092952,6.644708038637897,6.322608465225886,6.409469979298157
3157,4.346965053996975,4.16881375001461,3.9374235455737527,4.064137620594962,4.058751038885278,4.115218201813116
3156,3.8269218533437908,3.554919090884669,3.8663725469289982,3.471181712431537,3.5922458276371056,3.6623282062452205
3158,3.1522886879647656,3.4022507061694807,3.632322624549792,3.2255459560463415,3.518226453115521,3.3861268855691806
3159,2.661801401333972,2.77338572031483,2.6454936191031164,2.686490832394198,2.469005809531692,2.6472354765355623
3172,2.532981013792282,2.503566172939517,2.541982647825708,2.499500154845479,2.612018321695541,2.538009662219705
869,1.9553064658939963,2.651629156317665,2.1067023037191297,2.411688457975709,2.4110032267802004,2.30726592213734
3166,1.8307637128407894,1.905719495206928,1.795753520021867,1.895507997416647,1.8828042272822463,1.8621097905536956
439,1.7729863614386294,1.732280496022085,0.8363707882959305,2.1574239507912796,2.0095274856144747,1.70171781643248
729,1.3811270346980407,1.1445058608882202,2.447815045371751,1.4133521845841974,1.5036331649622967,1.5780866581009012
2777,1.5238297270657757,1.5720971687801801,1.4330606342942238,1.8937787744690004,1.1774366843977118,1.5200405978013785
28,1.5665125910467035,1.4244872854695694,1.6719998776223433,1.3351927652660762,1.572175190513213,1.514073541983581
3164,1.217544386519702,1.2207999452097291,1.1837531902632368,1.2139698904583065,1.2291804490254157,1.213049572295278
3154,1.2770340856766718,1.2345140870030937,1.1804662795690943,1.1637463450648957,1.17065795349219,1.205283750161189
3167,1.1537269772803405,1.217977647917868,1.1675737106576152,1.123167522502616,1.132824412268851,1.1590540541254581
15,1.0749201268103263,1.0659812087078895,1.1375326738319458,1.080564219839373,1.0945056343199604,1.090700772701899
3155,1.0702294116999953,0.9945837894291054,1.0541253800449246,1.0137480535449266,1.0220122520041064,1.0309397773446116
3173,1.198315299053034,0.9012318456860812,0.9001919678784348,1.1786295051431634,0.9476782429466343,1.0252093721414695
886,1.1315234457515237,0.9395861778304985,0.9991727775066501,0.9518919926095446,0.8324936631385228,0.970933611367348
3168,0.9595624269198242,0.9574610402503911,0.9582819375203864,0.8589875814572677,0.9739123201086127,0.9416410612512964
3169,0.9881712023112558,0.942442403650251,0.9044657782629129,0.9130306301451344,0.9503256642058999,0.9396871357150907
3162,0.8460509959071241,0.790195583900189,0.892643650683551,0.9559169056130127,0.9056019611574756,0.8780818194522706
3170,0.8557919983909716,0.9183414951452046,0.8476880177600803,0.8430223540165621,0.9075236274481935,0.8744734985522025
457,0.7499295746557857,0.8445774565226215,0.899104426374354,0.9078488414945206,0.8700533669128324,0.8543027331920229
3152,0.8043013493379761,0.8029613523766292,0.7582871406923705,0.7837031537253688,0.799253070263884,0.7897012132792458
2917,0.801134110595171,0.629251156664341,0.6872755714077695,0.9407001017342091,0.8331905268209899,0.7783102934444962
35,0.8516722096007768,0.7805474509669126,0.7725192346217125,0.8073454743646228,0.604312483886833,0.7632793706881715
1893,1.2169316799153633,1.2943290953460547,0.807856104448757,0.2345442473717204,0.23413583266413052,0.7575593919492052
3151,0.7251906616662142,0.7037711530914834,0.7584431245500766,0.6628643968459897,0.833649360231074,0.7367837392769676
3174,0.6875849496258906,0.6715191449241487,0.7090791084758028,0.7292854182595404,0.7990172130906431,0.7192971668752051
