feature,score0,score1,score2,score3,score4,score_mean
3155,73.71616861651272,71.82988486995411,71.70824968852574,71.90758313273184,72.67515087533602,72.3674074366121
3173,7.495602401866072,9.260380107152123,8.816184098094505,8.318825852589677,8.959528436792027,8.57010417929888
3156,3.1624204984369757,3.429037333008748,4.404575428892016,3.4211573337796466,3.8495657778710233,3.653351274397682
3175,3.5434875984906706,3.878698232225539,3.088233630695041,4.217161707828115,3.0321082374088326,3.551937881329639
3171,2.1953452387410377,2.482994173712109,2.3657455763606516,1.6023854886855073,2.471198510813671,2.2235337976625957
37,1.2638191974391988,1.6845526775283162,1.9644126804478403,1.847754893963943,1.7947112226146056,1.711050134398781
3151,1.763813031413312,1.2816960100986796,1.941076939667881,1.8889944421076101,1.235713827062422,1.622258850069981
3157,1.1703948805718312,1.1365789252999197,1.5630725000667092,1.438071034645325,1.1095276889322783,1.2835290059032125
3159,0.853793169747385,1.187360506597274,0.03741900168717245,1.2746867292283688,0.6201429440533044,0.7946804702627009
3158,1.352407816774758,0.30174835098660946,0.5767726298771804,0.6115637649099284,0.6950971160334624,0.7075179357163878
34,0.7250145202183402,0.7035295378077869,0.7585110863857325,0.5954085174961726,0.734836804292309,0.7034600932400682
33,0.4404913295943871,0.4229811965580864,0.49385803517184224,0.3894591351081681,0.47868138132147514,0.4450942155507918
35,0.3079239819101422,0.3705968978665026,0.5110127697460314,0.36473171810135885,0.4704390869228636,0.40494089090937974
3161,0.15079022058296832,0.3558357686508245,0.14269667305975733,0.35171753470743666,0.3947925808548662,0.2791665555711706
729,0.2583010015526084,0.244712118067661,0.10709048816988058,0.22958565392364616,0.1965232058318835,0.20724249350913593
3031,0.27434819158729057,0.1407858705992317,0.1358439356277059,3.560406988155606e-05,0.12279026226513892,0.13476077282984972
735,0.24327785332941881,0.09366250986054829,0.12972522540230738,0.05563040190075891,0.07142476832524519,0.11874415176365569
169,0.039309235461809824,0.10566852226486408,0.08761948842460732,0.08324846249894018,0.09797017991504701,0.08276317771305368
886,0.1356969179436991,0.04963942546545937,0.07154058172517441,0.10759501979272103,0.027025155913222305,0.07829942016805524
2777,0.025160119384540467,0.09158860643070109,0.143999821889225,0.07414427468429129,0.04614461759416002,0.07620748799658357
1532,0.1609691549503519,0.04209949259143389,2.2734443756636898e-05,5.635273962390604e-05,0.15033634417166025,0.07069681577936532
778,0.0007827427126258685,0.09661931540693892,0.13057897582890826,0.11273843030983077,0.0013307391076496317,0.06841004067319069
983,0.06361460973285467,0.06277615578008602,0.1018857159459393,0.11057131832388052,0.00023239713663214122,0.06781603938387853
3172,0.05294753412107287,0.08126113674435761,0.04985769435178715,0.06841256539805174,0.058483516006024146,0.06219248932425871
2783,0.041991043285015545,0.020093895386755132,0.028381553537924542,0.07980167283816701,0.08771017467094669,0.05159566794376178
36,0.04450927595411674,0.0421395640613353,0.06120634094681855,0.04513216465269196,0.04083703885939568,0.046764876894871646
1813,8.785911849384419e-08,0.07590493559316898,0.07475482630089719,0.07925300290404211,3.479096065854667e-07,0.045982640113366675
